"","name_ratio","name_FDR"
"BMI1_DN_MEL18_DN.V1_DN",8.46059800664452,1.51979975766352e-09
"ERBB2_UP.V1_UP",6.90767056404985,6.09150124871441e-09
"LEF1_UP.V1_DN",6.32022073314939,1.44812306665435e-07
"ESC_J1_UP_LATE.V1_UP",5.64039867109635,3.07429656454025e-06
"BMI1_DN.V1_DN",6.78936877076412,3.07429656454025e-06
"MEK_UP.V1_UP",5.25037110341415,6.28271382794889e-06
"ESC_V6.5_UP_EARLY.V1_DN",5.62802937576499,1.54432032930741e-05
"RPS14_DN.V1_UP",5.00687563195147,2.01314731512216e-05
"LTE2_UP.V1_DN",4.92655142395224,2.15430509057165e-05
"RAF_UP.V1_DN",4.62411062225016,8.88372178174808e-05
"MEL18_DN.V1_DN",5.17036544850498,0.00014731025791035
"WNT_UP.V1_DN",4.46821705426357,0.00050065184385012
"ESC_V6.5_UP_LATE.V1_UP",4.20843699296917,0.000781188938639093
"RB_P107_DN.V1_DN",5.06189624329159,0.000817377265152265
"EGFR_UP.V1_DN",4.11279069767442,0.000826389920426176
"EGFR_UP.V1_UP",3.97720419115768,0.00103382224834343
"LTE2_UP.V1_UP",3.93397371081901,0.00106835062921558
"ERBB2_UP.V1_DN",3.78979666382564,0.00138558110376587
"NFE2L2.V2",2.70212335692619,0.00166974050199743
"HOXA9_DN.V1_UP",3.65581395348837,0.00315613941250789
"E2F1_UP.V1_DN",3.61564017377971,0.00326930820855758
"CAMP_UP.V1_UP",3.53788447111778,0.00367855836149035
"STK33_UP",2.99112050739958,0.00459097245710552
"PTEN_DN.V1_DN",3.4837756497948,0.00685649000868939
"CORDENONSI_YAP_CONSERVED_SIGNATURE",6.09302325581395,0.00748166494397718
"PRC2_EED_DN.V1_UP",3.34599921166732,0.00830394849409254
"RB_DN.V1_DN",3.93703041144902,0.0104418848766359
"P53_DN.V1_UP",3.184096024006,0.0107124528536315
"RAF_UP.V1_UP",3.16706877254073,0.0107136541419466
"SIRNA_EIF4GI_UP",4.38697674418605,0.0112571893701882
"EIF4E_UP",4.07039079357468,0.0143403609436152
"RB_P130_DN.V1_DN",3.57079502433748,0.0143403609436152
"SNF5_DN.V1_UP",3.20998298355077,0.0143403609436152
"STK33_NOMO_UP",2.62264914054601,0.0143403609436152
"ESC_J1_UP_EARLY.V1_DN",3.17130848977305,0.0149586514510523
"NOTCH_DN.V1_DN",3.11501307279483,0.0161475775370047
"KRAS.LUNG_UP.V1_DN",3.38700410396717,0.0171539232250502
"GLI1_UP.V1_UP",8.58321536905966,0.017327120172119
"MEK_UP.V1_DN",3.02550120288693,0.0176483546980334
"CYCLIN_D1_UP.V1_DN",2.94098999610238,0.0202408470365567
"CYCLIN_D1_KE_.V1_DN",2.9246511627907,0.0203836653368498
"PKCA_DN.V1_DN",3.15501752150366,0.0218743047946029
"VEGF_A_UP.V1_UP",2.78538205980066,0.0255837468988336
"GCNP_SHH_UP_EARLY.V1_DN",2.89706011408513,0.0321856277249678
"STK33_SKM_UP",2.44728041514511,0.03441022950697
"PRC1_BMI_UP.V1_DN",2.82596661435297,0.0345479477886543
"RB_P107_DN.V1_UP",3.13355481727575,0.0345479477886543
"MTOR_UP.N4.V1_DN",2.77489492855141,0.0365193695240516
"WNT_UP.V1_UP",2.72563643869547,0.0390495924527239
"ESC_V6.5_UP_LATE.V1_DN",2.67809626825311,0.0416818363564183
"ATF2_UP.V1_UP",2.64731355252606,0.0432090776999716
"CSR_LATE_UP.V1_DN",2.86107178968655,0.046468962801568
